# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1248
#@/user_id	662924db-9313-4d87-817a-45375dfe3f1f
ni bu hui 	你不會	c=1 d=1 t=879
ni cong 	你從	c=1 d=1 t=668
ni de 	你得	c=1 d=1 t=1028
ni de 	你的	c=1 d=0.238761 t=995
ni dian 	你點	c=1 d=0.726149 t=1248
ni hai 	你還	c=1 d=0.238115 t=1248
ni hui 	你會	c=1 d=1 t=1248
ni ma 	你媽	c=2 d=0.252889 t=1244
ni ma de 	你媽的	c=1 d=1 t=1245
ni mai yi 	你買一	c=1 d=1 t=1139
ni men 	你們	c=4 d=2.98636 t=743
ni qu 	你去	c=1 d=0.609571 t=1248
ni shi 	你是	c=1 d=1 t=1089
ni shuo 	你說	c=1 d=1 t=529
ni tian jia 	你添加	c=1 d=0.718924 t=1248
ni ye 	你也	c=1 d=1 t=607
ni you 	你有	c=1 d=0.0951229 t=1248
ni you me 	你有麼	c=1 d=0.955997 t=1248
ni zhe 	你這	c=1 d=1 t=830
ni zhi shi 	你只是	c=1 d=1 t=848
nin 	您	c=1 d=1 t=888
nong 	弄	c=2 d=1.94176 t=609
nong 	農	c=1 d=1 t=599
nuo 	諾	c=1 d=1 t=965
nv sheng 	女生	c=1 d=1 t=835
pa 	怕	c=1 d=1 t=585
pai 	拍	c=0 d=0.050409 t=1248
pai cuo le 	拍錯了	c=1 d=0.506617 t=1248
pai pai 	拍拍	c=1 d=1 t=907
pao fen 	跑分	c=1 d=0.146607 t=1248
peng you 	朋友	c=1 d=0.249075 t=1248
pi ka 	批卡	c=1 d=0.640824 t=1248
pian le 	騙了	c=0 d=0.1 t=812
pian le shei 	騙了誰	c=1 d=1 t=813
pian yi 	便宜	c=1 d=1 t=1164
pin 	拼	c=2 d=0.919109 t=1248
pin duo duo 	拼多多	c=1 d=1 t=1107
ping tai 	平臺	c=1 d=0.251579 t=1248
qi 	器	c=0 d=0.0343009 t=1248
qi ma 	起碼	c=0 d=0.0321422 t=1248
qi shi 	騎士	c=3 d=0.75372 t=1248
qia 	洽	c=2 d=1.74745 t=1248
qian 	錢	c=3 d=2.94605 t=999
qing gan 	情感	c=1 d=0.235746 t=1248
qing gan de 	情感的	c=1 d=1 t=1038
qing shao nian 	青少年	c=1 d=1 t=927
qing xu 	情緒	c=1 d=1 t=930
qiu 	求	c=1 d=1 t=463
qu 	去	c=1 d=0.214566 t=1248
qu da ye 	去大爺	c=1 d=0.187308 t=1248
qu ni 	去你	c=1 d=0.199888 t=1248
quan pin 	全品	c=1 d=0.486752 t=1248
quan wu 	全無	c=1 d=1 t=1162
quan zuo 	全做	c=1 d=1 t=758
que dian 	缺點	c=1 d=1 t=1161
que le 	缺了	c=1 d=1 t=655
ran hou 	然後	c=7 d=0.737123 t=1248
rang 	讓	c=1 d=0.264477 t=1248
rang wan jia 	讓玩家	c=1 d=1 t=1067
ren 	人	c=2 d=0.224249 t=1248
ren de 	人的	c=1 d=0.23457 t=1248
ren he 	任何	c=4 d=0.88586 t=1248
ren he ren 	任何人	c=1 d=1 t=868
ren me 	人麼	c=1 d=0.865022 t=1248
ren shou 	忍受	c=2 d=1.99501 t=1148
ren zhen 	認真	c=0 d=0.127117 t=1089
ren zhen de ma 	認真的嗎	c=1 d=1 t=829
ren zhen de me 	認真的麼	c=1 d=1 t=1090
ri 	日	c=1 d=0.16696 t=1248
ru fang 	乳房	c=0 d=0.026982 t=1248
ru fang feng fu fang fu 	乳房豐富彷彿	c=1 d=0.271173 t=1248
ru guo 	如果	c=1 d=1 t=1215
ruan jian 	軟件	c=1 d=1 t=1239
san duan 	三段	c=0 d=0.1 t=417
san le 	散了	c=1 d=0.615697 t=1248
san xing 	三星	c=4 d=0.694197 t=1248
se diao 	色調	c=1 d=1 t=781
sha de 	啥的	c=1 d=0.319819 t=1248
sha diao 	沙雕	c=2 d=0.480347 t=1248
sha zi 	傻子	c=0 d=0.1 t=1085
shan 	刪	c=2 d=1.31822 t=861
shan chu 	刪除	c=1 d=1 t=1063
shan le 	刪了	c=2 d=0.302704 t=1248
shang 	上	c=3 d=0.691666 t=1248
shang ci 	上次	c=0 d=0.1 t=493
she si 	社死	c=1 d=1 t=947
shei 	誰	c=0 d=0.1 t=812
shei you 	誰有	c=1 d=1 t=744
shen me 	什麼	c=4 d=1.67366 t=875
shen zang 	腎臟	c=1 d=1 t=718
sheng 	省	c=1 d=0.451581 t=1248
sheng cun 	生存	c=1 d=1 t=1111
sheng ming 	聲明	c=1 d=0.603506 t=1248
shi 	市	c=1 d=0.822835 t=1248
shi 	是	c=16 d=2.72019 t=1248
shi bu shi 	是不是	c=1 d=1 t=953
shi hou 	時候	c=2 d=1.30728 t=1059
shi ji shang 	實際上	c=2 d=0.373439 t=1248
shi jian 	時間	c=1 d=1 t=1242
shi pin 	視頻	c=3 d=1.75366 t=638
shi sha 	是啥	c=0 d=0.1 t=1125
shi sha a 	是啥啊	c=1 d=1 t=1126
shi shi 	試試	c=1 d=0.722527 t=1248
shi wei 	視爲	c=1 d=1 t=855
shi wu 	食物	c=1 d=1 t=681
shi zai shi 	實在是	c=1 d=1 t=1226
shou guo 	受過	c=1 d=1 t=914
shou hou 	售後	c=1 d=1 t=1207
