# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15434
#@/user_id	1085ee9c-96fc-4189-a383-8ffdddf6a4c9
bu yuan 	不願	c=1 d=1.23813e-13 t=15434
bu yuan yi 	不願意	c=2 d=1.70242e-12 t=15434
bu yun xu 	不允許	c=1 d=1 t=119
bu za di 	不咋地	c=1 d=1 t=358
bu zai 	不再	c=2 d=0.71177 t=15434
bu zai 	不在	c=8 d=0.273898 t=15434
bu zai hu 	不在乎	c=5 d=1.12 t=12849
bu zai le 	不在了	c=1 d=1.53115e-12 t=15434
bu zhan 	不佔	c=1 d=2.67545e-19 t=15434
bu zheng chang 	不正常	c=2 d=1.67032 t=7909
bu zheng dang 	不正當	c=2 d=1.9802 t=10660
bu zheng que 	不正確	c=1 d=4.74977e-07 t=15434
bu zhi 	不值	c=2 d=0.00150344 t=15434
bu zhi 	不知	c=1 d=4.75138e-12 t=15434
bu zhi chi 	不支持	c=2 d=1.00001 t=3593
bu zhi dao 	不知道	c=44 d=0.744532 t=15434
bu zhi dao gai zen me 	不知道該怎麼	c=1 d=1 t=7298
